Content,Version
Intel TXT Authenticated Code Module for Windows 11 (Version 23H2 or Later) - ThinkPad,1.20.16.0
Intel TXT Authenticated Code Module,1.20.16.0
README,1.20.16.0
"Intel Integrated Sensor Solution for Windows 11 (Version 23H2 or later) - ThinkPad X1 2 in 1 Gen 10 (Type 21NU, 21NV), X1 Carbon 13th Gen (Type 21NS, 21NT)",5.8.36.0
Intel Integrated Sensor Solution,5.8.36.0
README,5.8.36.0
"Intel Management Engine Software for Windows 11 (Version 23H2 or later) - ThinkPad X1 Carbon 13th Gen (Type 21NS, 21NT), X1 2-in-1 Gen 10 (Type 21NU, 21NV)",2512.7.3.0
Intel Management Engine Software,2512.7.3.0
README,2512.7.3.0
Intel HID Event Filter Driver for Windows 11 (Version 23H2 or later) - ThinkPad,2.2.2.12
Intel HID Event Filter Driver,2.2.2.12
README,2.2.2.12
"Intel(R) Quick I2C Driver for Windows 11 (Version 23H2 or later) - ThinkPad X1 Carbon 13th Gen (Type 21NS, 21NT), X1 2-in-1 Gen 10 (Type 21NU, 21NV)",5.1.0.35
Intel(R) Quick I2C Driver,5.1.0.35
README,5.1.0.35
"Elantech TrackPad Firmware for Non-NFC model for Windows 11 (Version 24H2 or later) - ThinkPad X1 2-in-1 Gen 10 (Type 21NU, 21NV), X1 Carbon 13th Gen (Type 21NS, 21NT)",06
Elantech TrackPad Firmware,06
README,06
ELAN TrackPoint Driver for Windows 11 (Version 21H2 or later) - ThinkPad,31.21.49.1
ELAN TrackPoint Driver,31.21.49.1
README,31.21.49.1
Elantech TrackPad Firmware for NFC model for Windows 11 (Version 24H2 or Later) - ThinkPad,06
Elantech TrackPad Firmware for NFC model,06
README,06
"Ilitek Touch Panel firmware for Linux - ThinkPad X1 2-in-1 Gen 10 (Type 21NU, 21NV), X1 Carbon 13th Gen (Type 21NS, 21NT)",4.0.0.2
Ilitek Touch Panel firmware,4.0.0.2
README,4.0.0.2
Intel AX211/BE201 Wireless LAN Driver for Windows 11 (Version 23H2 or later) - ThinkPad,23.140.2.1
Intel AX211/BE201 Wireless LAN Driver,23.140.2.1
README,23.140.2.1
"Quectel RM520N-GL Wireless WAN Driver for Windows 11 (Version 23H2 or later) - ThinkPad X1 2-in-1 Gen 10 (Type 21NU, 21NV), X1 Carbon 13th Gen",v1.3.0.30
Quectel RM520N-GL Wireless WAN Driver,v1.3.0.30
README,v1.3.0.30
"Quectel EM05-CN Wireless WAN Driver for Windows 11 (Version 23H2 or later) - ThinkPad X1 Carbon 13th Gen (Type 21NS, 21NT)",1.0.0.18
Quectel EM05-CN Wireless WAN Driver,1.0.0.18
README,1.0.0.18
Lenovo Power Management Driver for Windows 11 (Version 21H2 or later) - ThinkPad,1.69.34.0
Lenovo Power Management Driver,1.69.34.0
README,1.69.34.0
"Lenovo Power and Battery Driver for Windows 11 (Version 21H2 or later), 10 (Version 1703 or Later) - ThinkPad",10.2.2.6
Lenovo Power and Battery Driver,10.2.2.6
README,10.2.2.6
"Intel Processor Power Management (PPM) Package for Windows 11 (Version 23H2 or later) - ThinkPad X1 Carbon 13th Gen (Type 21NS, 21NT)",1006.20240812
Intel Processor Power Management (PPM) Package,1006.20240812
README,1006.20240812
Lenovo Base Utility for Windows for Windows 11 (Version 21H2 or later) - ThinkPad,10.15.2508.4
